family,representation,backbone,regressor,fold,validation_fold,seed,train_n,validation_n,test_n,selected_alpha,validation_rmse,test_r2,test_rmse,test_rmse_bu_per_acre,test_mae
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,0,,0,1245,415,416,100.0,15.53214227561892,0.8671501415426849,13.030500862892454,13.030500862892454,9.927691356952373
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,0,,0,1245,415,416,,,0.832210045752916,14.64412877072679,14.64412877072679,11.041514862858167
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,0,,1,1245,415,416,,,0.8329373304501282,14.612356853962742,14.612356853962742,11.024849295748547
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,0,,2,1245,415,416,,,0.8298013097335379,14.748867300408747,14.748867300408747,11.137639868075752
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,0,,0,1245,415,416,,,0.8640605761413442,13.181149135202496,13.181149135202496,10.082756974146916
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,0,,1,1245,415,416,,,0.8630309681818292,13.23097211883003,13.23097211883003,10.110681887773366
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,0,,2,1245,415,416,,,0.8640555358440126,13.18139349512808,13.18139349512808,10.025461048346301
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,0,,0,1245,415,416,,,0.8783291179893253,12.470213513381813,12.470213513381813,9.534064716752578
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,0,,1,1245,415,416,,,0.8799727969861405,12.38569565669787,12.38569565669787,9.479331459965282
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,0,,2,1245,415,416,,,0.8799627091541602,12.386216131175457,12.386216131175457,9.438502232399243
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ridge,1,,0,1246,415,415,100.0,12.358522574090683,0.831868651036878,14.682311714893018,14.682311714893018,10.149588582601892
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,1,,0,1246,415,415,,,0.822049393894565,15.104968615124555,15.104968615124555,11.309144563344951
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,1,,1,1246,415,415,,,0.8215243972275392,15.12723383263009,15.12723383263009,11.306618587491274
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,random_forest,1,,2,1246,415,415,,,0.8208988597289132,15.153720296252809,15.153720296252809,11.347392946670691
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,1,,0,1246,415,415,,,0.852721035808543,13.74169965043271,13.74169965043271,10.42235143454678
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,1,,1,1246,415,415,,,0.8586653125101049,13.46153153563507,13.46153153563507,10.186454497187968
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,xgboost,1,,2,1246,415,415,,,0.8559179423731709,13.591739506961524,13.591739506961524,10.2257105264319
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,1,,0,1246,415,415,,,0.86775467739869,13.021477103934142,13.021477103934142,9.762824227533308
climate_fusion,clay_daymet,clay_v1_5_cls_daymet_late_fusion,ebm,1,,1,1246,415,415,,,0.869904793525282,12.915188191860103,12.915188191860103,9.598989757189612
