fips_year,county_id,year,fold,split,held_out_state,validation_state
17001-2020,17001,2020,17,test,17,18
17001-2022,17001,2022,17,test,17,18
17003-2019,17003,2019,17,test,17,18
17003-2020,17003,2020,17,test,17,18
17005-2019,17005,2019,17,test,17,18
17005-2020,17005,2020,17,test,17,18
17005-2021,17005,2021,17,test,17,18
17005-2022,17005,2022,17,test,17,18
17007-2019,17007,2019,17,test,17,18
17007-2020,17007,2020,17,test,17,18
17007-2022,17007,2022,17,test,17,18
17009-2020,17009,2020,17,test,17,18
17009-2022,17009,2022,17,test,17,18
17011-2019,17011,2019,17,test,17,18
17011-2020,17011,2020,17,test,17,18
17011-2021,17011,2021,17,test,17,18
17011-2022,17011,2022,17,test,17,18
17013-2020,17013,2020,17,test,17,18
17013-2022,17013,2022,17,test,17,18
17015-2020,17015,2020,17,test,17,18
17015-2022,17015,2022,17,test,17,18
17017-2019,17017,2019,17,test,17,18
17017-2020,17017,2020,17,test,17,18
17017-2021,17017,2021,17,test,17,18
17017-2022,17017,2022,17,test,17,18
17019-2021,17019,2021,17,test,17,18
17019-2022,17019,2022,17,test,17,18
17021-2020,17021,2020,17,test,17,18
17021-2021,17021,2021,17,test,17,18
17021-2022,17021,2022,17,test,17,18
17023-2020,17023,2020,17,test,17,18
17023-2022,17023,2022,17,test,17,18
17025-2019,17025,2019,17,test,17,18
17025-2020,17025,2020,17,test,17,18
17025-2021,17025,2021,17,test,17,18
17025-2022,17025,2022,17,test,17,18
17027-2019,17027,2019,17,test,17,18
17027-2020,17027,2020,17,test,17,18
17027-2021,17027,2021,17,test,17,18
17027-2022,17027,2022,17,test,17,18
17029-2019,17029,2019,17,test,17,18
17029-2021,17029,2021,17,test,17,18
17031-2019,17031,2019,17,test,17,18
17033-2019,17033,2019,17,test,17,18
17033-2020,17033,2020,17,test,17,18
17033-2022,17033,2022,17,test,17,18
17035-2019,17035,2019,17,test,17,18
17035-2022,17035,2022,17,test,17,18
17039-2020,17039,2020,17,test,17,18
17039-2021,17039,2021,17,test,17,18
17039-2022,17039,2022,17,test,17,18
17041-2019,17041,2019,17,test,17,18
17041-2022,17041,2022,17,test,17,18
17045-2020,17045,2020,17,test,17,18
17045-2021,17045,2021,17,test,17,18
17045-2022,17045,2022,17,test,17,18
17047-2020,17047,2020,17,test,17,18
17047-2021,17047,2021,17,test,17,18
17047-2022,17047,2022,17,test,17,18
17049-2021,17049,2021,17,test,17,18
17049-2022,17049,2022,17,test,17,18
17051-2019,17051,2019,17,test,17,18
17051-2020,17051,2020,17,test,17,18
17051-2021,17051,2021,17,test,17,18
17053-2019,17053,2019,17,test,17,18
17053-2020,17053,2020,17,test,17,18
17053-2021,17053,2021,17,test,17,18
17053-2022,17053,2022,17,test,17,18
17055-2019,17055,2019,17,test,17,18
17055-2020,17055,2020,17,test,17,18
17055-2021,17055,2021,17,test,17,18
17055-2022,17055,2022,17,test,17,18
17057-2020,17057,2020,17,test,17,18
17057-2021,17057,2021,17,test,17,18
17057-2022,17057,2022,17,test,17,18
17059-2019,17059,2019,17,test,17,18
17059-2020,17059,2020,17,test,17,18
17059-2021,17059,2021,17,test,17,18
17059-2022,17059,2022,17,test,17,18
17061-2020,17061,2020,17,test,17,18
17061-2021,17061,2021,17,test,17,18
17061-2022,17061,2022,17,test,17,18
17063-2019,17063,2019,17,test,17,18
17063-2020,17063,2020,17,test,17,18
17063-2022,17063,2022,17,test,17,18
17065-2020,17065,2020,17,test,17,18
17065-2022,17065,2022,17,test,17,18
17067-2020,17067,2020,17,test,17,18
17067-2022,17067,2022,17,test,17,18
17071-2020,17071,2020,17,test,17,18
17071-2022,17071,2022,17,test,17,18
17073-2020,17073,2020,17,test,17,18
17073-2022,17073,2022,17,test,17,18
17075-2019,17075,2019,17,test,17,18
17075-2020,17075,2020,17,test,17,18
17075-2021,17075,2021,17,test,17,18
17075-2022,17075,2022,17,test,17,18
17077-2019,17077,2019,17,test,17,18
17077-2020,17077,2020,17,test,17,18
17077-2021,17077,2021,17,test,17,18
17077-2022,17077,2022,17,test,17,18
17079-2019,17079,2019,17,test,17,18
17079-2020,17079,2020,17,test,17,18
17079-2022,17079,2022,17,test,17,18
17081-2019,17081,2019,17,test,17,18
17081-2021,17081,2021,17,test,17,18
17081-2022,17081,2022,17,test,17,18
17083-2020,17083,2020,17,test,17,18
17083-2022,17083,2022,17,test,17,18
17085-2020,17085,2020,17,test,17,18
17085-2022,17085,2022,17,test,17,18
17087-2020,17087,2020,17,test,17,18
17089-2019,17089,2019,17,test,17,18
17089-2020,17089,2020,17,test,17,18
17089-2022,17089,2022,17,test,17,18
17091-2020,17091,2020,17,test,17,18
17091-2022,17091,2022,17,test,17,18
17093-2019,17093,2019,17,test,17,18
17093-2020,17093,2020,17,test,17,18
17093-2022,17093,2022,17,test,17,18
17095-2020,17095,2020,17,test,17,18
17095-2022,17095,2022,17,test,17,18
17097-2019,17097,2019,17,test,17,18
17097-2020,17097,2020,17,test,17,18
17101-2019,17101,2019,17,test,17,18
17101-2020,17101,2020,17,test,17,18
17101-2022,17101,2022,17,test,17,18
17103-2019,17103,2019,17,test,17,18
17103-2020,17103,2020,17,test,17,18
17103-2022,17103,2022,17,test,17,18
17105-2019,17105,2019,17,test,17,18
17105-2020,17105,2020,17,test,17,18
17105-2021,17105,2021,17,test,17,18
17105-2022,17105,2022,17,test,17,18
17107-2020,17107,2020,17,test,17,18
17107-2021,17107,2021,17,test,17,18
17107-2022,17107,2022,17,test,17,18
17115-2020,17115,2020,17,test,17,18
17115-2021,17115,2021,17,test,17,18
17115-2022,17115,2022,17,test,17,18
17117-2020,17117,2020,17,test,17,18
17117-2021,17117,2021,17,test,17,18
17117-2022,17117,2022,17,test,17,18
17119-2019,17119,2019,17,test,17,18
17119-2020,17119,2020,17,test,17,18
17119-2021,17119,2021,17,test,17,18
17119-2022,17119,2022,17,test,17,18
17121-2019,17121,2019,17,test,17,18
17121-2020,17121,2020,17,test,17,18
17121-2021,17121,2021,17,test,17,18
17121-2022,17121,2022,17,test,17,18
17123-2019,17123,2019,17,test,17,18
17123-2020,17123,2020,17,test,17,18
17123-2021,17123,2021,17,test,17,18
17123-2022,17123,2022,17,test,17,18
17125-2020,17125,2020,17,test,17,18
17125-2021,17125,2021,17,test,17,18
17125-2022,17125,2022,17,test,17,18
17127-2019,17127,2019,17,test,17,18
17127-2020,17127,2020,17,test,17,18
17129-2021,17129,2021,17,test,17,18
17131-2020,17131,2020,17,test,17,18
17131-2022,17131,2022,17,test,17,18
