representation,composites,r2_mean,r2_std,rmse_mean,rmse_std,folds
clay,1,0.6654,0.0533,19.8578,1.1204,5
clay,2,0.7026,0.0529,18.7019,1.2715,5
clay,3,0.7424,0.0492,17.3971,1.4533,5
clay,4,0.808,0.0399,15.0044,1.2073,5
clay,5,0.83,0.0417,14.0823,1.2953,5
clay,6,0.8329,0.0446,13.943,1.395,5
clay,7,0.835,0.0458,13.8443,1.4377,5
prithvi,1,0.6601,0.0553,20.0102,1.1061,5
prithvi,2,0.6827,0.0537,19.3308,1.2073,5
prithvi,3,0.7231,0.0529,18.0353,1.3767,5
prithvi,4,0.7956,0.043,15.4749,1.1488,5
prithvi,5,0.8209,0.0487,14.4278,1.4943,5
prithvi,6,0.8212,0.0537,14.3872,1.5911,5
prithvi,7,0.8206,0.0512,14.4278,1.5302,5
s2_indices,1,0.2306,0.0599,30.2107,0.9659,5
s2_indices,2,0.4482,0.0405,25.5924,0.9226,5
s2_indices,3,0.5447,0.0504,23.2066,0.7382,5
s2_indices,4,0.7143,0.0543,18.3146,1.1728,5
s2_indices,5,0.7917,0.0464,15.6091,1.1233,5
s2_indices,6,0.7984,0.051,15.326,1.3281,5
s2_indices,7,0.8105,0.0492,14.8538,1.3043,5
