representation,state_fips,state_name,experiment_id,representation_type,feature_dim,test_n,test_r2,test_rmse,test_mae,selected_alpha,validation_rmse,split_path
alphaearth,17,Illinois,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,258,0.49826387787375204,15.58092999303157,13.257281279069767,10.0,10.728615184277498,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,18,Indiana,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,198,0.6184804312532748,10.601729618951143,8.424837929292929,10.0,14.490072084920177,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,19,Iowa,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,292,0.47774534712819094,14.798590277195325,10.777078698630136,0.01,24.916310091309477,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,20,Kansas,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,192,0.21203690429701283,32.32056505985873,28.093742135416665,100.0,19.39853022149953,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,21,Kentucky,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,66,-1.9953611742187327,25.20605617460183,20.391376515151514,0.01,20.639501339110122,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,26,Michigan,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,66,-0.4946966466367406,22.4644238437837,17.699618787878787,1.0,17.308306089653126,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,27,Minnesota,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,154,0.6061390717728778,19.208770960279345,13.457711785714286,100.0,12.269616547392591,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,29,Missouri,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,116,0.5882817691518303,12.970780298253453,9.630936198275858,10.0,29.373694847626847,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,31,Nebraska,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,216,0.12782553001634533,29.094947761005646,21.86769234259259,10.0,20.141971369438156,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,38,North Dakota,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,88,0.7454184185950389,18.954412729980703,15.274677375,100.0,13.625478483287923,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,39,Ohio,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,177,0.31727198195679907,13.397337757315988,10.115678395480225,100.0,27.701353009045324,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,46,South Dakota,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,110,0.5158239710013046,26.71862302694708,16.063485063636364,100.0,18.32775599997339,outputs/cohort_covered/loso_state_tabular.csv
alphaearth,55,Wisconsin,frozen_alphaearth_ridge_mean_std_preencoded_global_pool,frozen_embedding,128,143,0.21723256761122078,18.401704246972784,13.696680342657341,10.0,15.709824179346263,outputs/cohort_covered/loso_state_tabular.csv
clay,17,Illinois,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,258,0.6159360665638522,13.631933365440988,10.832791860465118,100.0,14.909386729851207,outputs/cohort_covered/loso_state_tabular.csv
clay,18,Indiana,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,198,0.3311947470648078,14.036801308253633,10.75922797979798,100.0,13.473660152236704,outputs/cohort_covered/loso_state_tabular.csv
clay,19,Iowa,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,292,0.5712788024457685,13.408082263262944,10.76766167808219,100.0,25.089153426014605,outputs/cohort_covered/loso_state_tabular.csv
clay,20,Kansas,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,192,0.5377351782028337,24.755484389118234,18.150011239583336,100.0,20.24688628935306,outputs/cohort_covered/loso_state_tabular.csv
clay,21,Kentucky,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,66,-0.4651115381704478,17.628511609506518,14.019148787878787,100.0,19.048479503400504,outputs/cohort_covered/loso_state_tabular.csv
clay,26,Michigan,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,66,-0.10722879712943456,19.33470012419431,13.701121681818181,100.0,21.122072567718863,outputs/cohort_covered/loso_state_tabular.csv
clay,27,Minnesota,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,154,0.5156995115277994,21.300293204923136,13.763720753246751,100.0,16.65766094061224,outputs/cohort_covered/loso_state_tabular.csv
clay,29,Missouri,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,116,0.3370568854871082,16.45902808871359,12.90572974137931,100.0,21.080318354735653,outputs/cohort_covered/loso_state_tabular.csv
clay,31,Nebraska,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,216,0.3824479774640206,24.482325683823,19.782800962962963,10.0,24.039171027396936,outputs/cohort_covered/loso_state_tabular.csv
clay,38,North Dakota,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,88,0.5921254809826264,23.991650737302383,19.199561034090912,100.0,15.9376497603615,outputs/cohort_covered/loso_state_tabular.csv
clay,39,Ohio,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,177,0.037012771316964455,15.911272263375434,12.164426271186441,100.0,18.86358251677707,outputs/cohort_covered/loso_state_tabular.csv
clay,46,South Dakota,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,110,0.7508898921956861,19.16496830147785,14.093775263636367,100.0,17.14760182192059,outputs/cohort_covered/loso_state_tabular.csv
clay,55,Wisconsin,frozen_clay_v1_5_cls_ridge_mean_std_joint,frozen_embedding,2048,143,0.27565695713515626,17.701652826645983,13.562198363636366,100.0,13.77267312123188,outputs/cohort_covered/loso_state_tabular.csv
presto,17,Illinois,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,258,0.5295526247609079,15.08728925349723,12.019356589147288,100.0,13.898786381249437,outputs/cohort_covered/loso_state_tabular.csv
presto,18,Indiana,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,198,0.34106516863858605,13.93283670851742,11.164192595959596,1.0,14.775813718254721,outputs/cohort_covered/loso_state_tabular.csv
presto,19,Iowa,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,292,0.4501851085675249,15.184043399862958,11.799143082191783,0.01,24.14754803474345,outputs/cohort_covered/loso_state_tabular.csv
presto,20,Kansas,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,192,0.5766947397103442,23.689333321212946,18.502763296875,0.1,15.489267341773411,outputs/cohort_covered/loso_state_tabular.csv
presto,21,Kentucky,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,66,-0.2170854579163879,16.067223629601152,12.937695,1.0,17.011074330696857,outputs/cohort_covered/loso_state_tabular.csv
presto,26,Michigan,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,66,-0.8231938988493002,24.81048099049237,20.149998636363637,0.01,12.860053679642311,outputs/cohort_covered/loso_state_tabular.csv
presto,27,Minnesota,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,154,0.7261180242292677,16.018057717937598,12.3238497987013,100.0,14.57769335351349,outputs/cohort_covered/loso_state_tabular.csv
presto,29,Missouri,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,116,0.48176898987627825,14.552169770631462,11.58895025862069,100.0,21.1988410672975,outputs/cohort_covered/loso_state_tabular.csv
presto,31,Nebraska,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,216,0.1647000530590993,28.473255400310837,21.074808236111114,0.1,23.177164015484333,outputs/cohort_covered/loso_state_tabular.csv
presto,38,North Dakota,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,88,0.5593085640508162,24.938145161447533,21.124351375,100.0,15.361468532806406,outputs/cohort_covered/loso_state_tabular.csv
presto,39,Ohio,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,177,0.046511421607160486,15.83260551357792,12.555557683615818,0.01,20.88829264323241,outputs/cohort_covered/loso_state_tabular.csv
presto,46,South Dakota,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,110,0.6731158270656543,21.95378350577773,17.63831688181818,10.0,14.169497947420538,outputs/cohort_covered/loso_state_tabular.csv
presto,55,Wisconsin,frozen_presto_s2_ridge_mean_std_preencoded_global_pool,frozen_embedding,256,143,0.4974831723385692,14.744056180292437,11.3015234965035,100.0,15.350991132427776,outputs/cohort_covered/loso_state_tabular.csv
prithvi,17,Illinois,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,258,0.556730908343275,14.645001371880504,11.096716375968992,100.0,14.51437133604336,outputs/cohort_covered/loso_state_tabular.csv
prithvi,18,Indiana,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,198,0.36480855470866114,13.679512952049421,10.531468686868688,100.0,12.6581617000879,outputs/cohort_covered/loso_state_tabular.csv
prithvi,19,Iowa,frozen_prithvi_eo_v2_300_tl_per_timestep_spatial_mean_ridge_mean_std_joint,frozen_embedding,2048,292,0.6224319647353651,12.582785617734714,9.906844897260275,100.0,24.114818719782647,outputs/cohort_covered/loso_state_tabular.csv
