representation,backbone,held_out_year,seeds,test_n,r2,r2_seed_std,rmse,rmse_seed_std,mae,mae_seed_std
alphaearth,alphaearth,2019,1,440,0.4190890519965842,0.0,21.669701060356804,0.0,17.963548611727628,0.0
alphaearth,alphaearth,2020,1,769,0.7531434666749341,0.0,15.216388899418147,0.0,11.557566895007467,0.0
alphaearth,alphaearth,2021,1,443,0.7811570254202569,0.0,21.178257328888634,0.0,14.23191952673092,0.0
alphaearth,alphaearth,2022,1,424,0.6651872500286968,0.0,16.151315311734862,0.0,12.540083798822367,0.0
clay,clay_v1_5_cls,2019,1,440,0.5677429597932588,0.0,18.692576950399157,0.0,14.575236830277875,0.0
clay,clay_v1_5_cls,2020,1,769,0.6503838702147906,0.0,18.108605889186812,0.0,13.443880662062387,0.0
clay,clay_v1_5_cls,2021,1,443,0.7718027468870268,0.0,21.62614559673089,0.0,17.383747601993466,0.0
clay,clay_v1_5_cls,2022,1,424,0.7553570726208166,0.0,13.806170553342525,0.0,10.823411639231557,0.0
presto,presto_s2,2019,1,440,0.4843070227117906,0.0,20.41708552811849,0.0,16.429022133567116,0.0
presto,presto_s2,2020,1,769,0.6160661702541003,0.0,18.976559522473835,0.0,14.281463888934748,0.0
presto,presto_s2,2021,1,443,0.7214138803391521,0.0,23.894813955493355,0.0,20.316974810391464,0.0
presto,presto_s2,2022,1,424,0.7313729419107613,0.0,14.467109866963202,0.0,11.303555657728662,0.0
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,2019,1,440,0.5465915499948771,0.0,19.144452214784177,0.0,14.665822656804865,0.0
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,2020,1,769,0.5892332342166668,0.0,19.62849202224775,0.0,14.733448241870022,0.0
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,2021,1,443,0.8094255006629929,0.0,19.763156516112936,0.0,15.531491629641428,0.0
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,2022,1,424,0.7564734058469762,0.0,13.774634981664047,0.0,10.805114944026155,0.0
sentinel2_indices,sentinel2_indices,2019,1,440,0.5518835648634949,0.0,19.03240083509852,0.0,14.867666681463069,0.0
sentinel2_indices,sentinel2_indices,2020,1,769,0.6168938675318634,0.0,18.956093338052316,0.0,15.034523968640787,0.0
sentinel2_indices,sentinel2_indices,2021,1,443,0.8030806568200639,0.0,20.089452711377586,0.0,15.311294297332418,0.0
sentinel2_indices,sentinel2_indices,2022,1,424,0.7639193800668044,0.0,13.562416274472616,0.0,10.443238193583937,0.0
terramind,terramind_v1_base_s2_6_prithvi,2019,1,440,0.5627376987295205,0.0,18.800489524299742,0.0,15.055314344926312,0.0
terramind,terramind_v1_base_s2_6_prithvi,2020,1,769,0.6876357332378467,0.0,17.116696877881694,0.0,13.265527403277137,0.0
terramind,terramind_v1_base_s2_6_prithvi,2021,1,443,0.7748394930070472,0.0,21.48176816482549,0.0,17.688381165790773,0.0
terramind,terramind_v1_base_s2_6_prithvi,2022,1,424,0.750970376973892,0.0,13.929399916511265,0.0,10.70369139257467,0.0
