representation,backbone,regressor,selected_alpha,held_out_year,seed,train_n,test_n,test_r2,test_rmse,test_mae
clay,clay_v1_5_cls,ridge,100.0,2019,0,1636,440,0.5677429597932588,18.692576950399157,14.575236830277875
clay,clay_v1_5_cls,ridge,100.0,2020,0,1307,769,0.6503838702147906,18.108605889186812,13.443880662062387
clay,clay_v1_5_cls,ridge,100.0,2021,0,1633,443,0.7718027468870268,21.62614559673089,17.383747601993466
clay,clay_v1_5_cls,ridge,100.0,2022,0,1652,424,0.7553570726208166,13.806170553342525,10.823411639231557
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,ridge,100.0,2019,0,1636,440,0.5465915499948771,19.144452214784177,14.665822656804865
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,ridge,100.0,2020,0,1307,769,0.5892332342166668,19.62849202224775,14.733448241870022
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,ridge,100.0,2021,0,1633,443,0.8094255006629929,19.763156516112936,15.531491629641428
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,ridge,100.0,2022,0,1652,424,0.7564734058469762,13.774634981664047,10.805114944026155
terramind,terramind_v1_base_s2_6_prithvi,ridge,100.0,2019,0,1636,440,0.5627376987295205,18.800489524299742,15.055314344926312
terramind,terramind_v1_base_s2_6_prithvi,ridge,100.0,2020,0,1307,769,0.6876357332378467,17.116696877881694,13.265527403277137
terramind,terramind_v1_base_s2_6_prithvi,ridge,100.0,2021,0,1633,443,0.7748394930070472,21.48176816482549,17.688381165790773
terramind,terramind_v1_base_s2_6_prithvi,ridge,100.0,2022,0,1652,424,0.750970376973892,13.929399916511265,10.70369139257467
presto,presto_s2,ridge,1.0,2019,0,1636,440,0.4843070227117906,20.41708552811849,16.429022133567116
presto,presto_s2,ridge,100.0,2020,0,1307,769,0.6160661702541003,18.976559522473835,14.281463888934748
presto,presto_s2,ridge,0.01,2021,0,1633,443,0.7214138803391521,23.894813955493355,20.316974810391464
presto,presto_s2,ridge,1.0,2022,0,1652,424,0.7313729419107613,14.467109866963202,11.303555657728662
alphaearth,alphaearth,ridge,10.0,2019,0,1636,440,0.4190890519965842,21.669701060356804,17.963548611727628
alphaearth,alphaearth,ridge,10.0,2020,0,1307,769,0.7531434666749341,15.216388899418147,11.557566895007467
alphaearth,alphaearth,ridge,10.0,2021,0,1633,443,0.7811570254202569,21.178257328888634,14.23191952673092
alphaearth,alphaearth,ridge,10.0,2022,0,1652,424,0.6651872500286968,16.151315311734862,12.540083798822367
sentinel2_indices,sentinel2_indices,ridge,0.1,2019,0,1636,440,0.5518835648634949,19.03240083509852,14.867666681463069
sentinel2_indices,sentinel2_indices,ridge,0.1,2020,0,1307,769,0.6168938675318634,18.956093338052316,15.034523968640787
sentinel2_indices,sentinel2_indices,ridge,0.01,2021,0,1633,443,0.8030806568200639,20.089452711377586,15.311294297332418
sentinel2_indices,sentinel2_indices,ridge,0.01,2022,0,1652,424,0.7639193800668044,13.562416274472616,10.443238193583937
