representation,dim,head,r2,r2_sd,rmse,rmse_sd,mae,folds
AlphaEarth,64,Ridge,0.7803,0.0412,16.0892,1.5059,11.5675,5
AlphaEarth,64,Random Forest,0.8132,0.0351,14.8149,1.0456,10.6623,5
AlphaEarth,64,XGBoost,0.8335,0.0276,14.0015,0.9521,10.0078,5
AlphaEarth,64,EBM,0.826,0.0312,14.308,1.1126,10.2626,5
S2 indices,21,Ridge,0.7651,0.0399,16.6221,0.8013,12.6765,5
S2 indices,21,Random Forest,0.8014,0.0488,15.2198,1.2643,11.3146,5
S2 indices,21,XGBoost,0.809,0.0497,14.9098,1.3133,11.0471,5
S2 indices,21,EBM,0.7589,0.0484,16.8122,1.0604,12.7402,5
S2 + Daymet,56,Ridge,0.8304,0.0268,14.1404,0.7778,10.8757,5
S2 + Daymet,56,Random Forest,0.8604,0.0406,12.7221,1.303,9.502,5
S2 + Daymet,56,XGBoost,0.8799,0.0339,11.8069,1.1545,8.8757,5
S2 + Daymet,56,EBM,0.8595,0.0172,12.8879,0.4621,9.8236,5
clay,2048,Ridge,0.8151,0.0425,14.7142,1.493,10.7392,5
clay,2048,Random Forest,0.7977,0.0483,15.3711,1.3827,11.5168,5
clay,2048,XGBoost,0.8248,0.0454,14.2849,1.3866,10.6884,5
clay,2048,EBM,0.8448,0.0382,13.454,1.1379,10.0715,5
prithvi,2048,Ridge,0.7975,0.0394,15.4321,1.3301,11.3439,5
prithvi,2048,Random Forest,0.7399,0.0547,17.4564,1.4206,12.8744,5
prithvi,2048,XGBoost,0.7813,0.0533,15.975,1.4803,11.7701,5
prithvi,2048,EBM,0.8177,0.0402,14.606,1.0789,10.8846,5
terramind_s2_6,1536,Ridge,0.8109,0.0421,14.8694,1.1096,11.3252,5
terramind_s2_6,1536,Random Forest,0.7776,0.0471,16.1467,1.3114,12.1812,5
terramind_s2_6,1536,XGBoost,0.7999,0.0475,15.2909,1.4259,11.4892,5
terramind_s2_6,1536,EBM,0.8067,0.0449,15.0317,1.2453,11.3173,5
terramind_s2_10,1536,Ridge,0.8006,0.0514,15.2389,1.3443,11.3451,5
terramind_s2_10,1536,Random Forest,0.7378,0.0674,17.4836,1.7863,12.8914,5
terramind_s2_10,1536,XGBoost,0.7846,0.0569,15.8361,1.5697,11.6742,5
terramind_s2_10,1536,EBM,0.8169,0.0483,14.5964,1.3135,10.8417,5
presto,256,Ridge,0.8079,0.0456,14.974,1.2774,11.3549,5
presto,256,Random Forest,0.786,0.0535,15.7992,1.4048,12.0917,5
presto,256,XGBoost,0.8041,0.0461,15.1305,1.2582,11.5613,5
presto,256,EBM,0.8,0.0493,15.2783,1.3591,11.6661,5
