encoder,backbone,strategy,prediction_head,fold,seed,test_r2,test_rmse,test_mae,test_n,validation_rmse,best_epoch,parameter_count,sequence_feature_dim,readout_dim,checkpoint
clay,clay_v1_5_cls,mean,mlp,1,0,0.7967545882302305,16.142859370971,11.719030826063042,415,13.884029075522948,31,558081,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_mean_fold1_seed0.pt
clay,clay_v1_5_cls,mean,mlp,1,1,0.7927438218950018,16.301359716075815,11.745048734366176,415,14.278276817854419,14,558081,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_mean_fold1_seed1.pt
clay,clay_v1_5_cls,mean,mlp,1,2,0.7845532120398154,16.62034751195107,12.012265612131142,415,14.520768373879289,28,558081,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_mean_fold1_seed2.pt
clay,clay_v1_5_cls,concat,mlp,1,0,0.8342292949482598,14.578873935085578,10.235310060432159,415,12.424808195876384,102,3703809,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_concat_fold1_seed0.pt
clay,clay_v1_5_cls,concat,mlp,1,1,0.8230300783702481,15.06328931710936,10.506905309837984,415,12.773261655930485,26,3703809,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_concat_fold1_seed1.pt
clay,clay_v1_5_cls,concat,mlp,1,2,0.8234845718217271,15.043934142181836,10.541043651534851,415,13.082431025073548,24,3703809,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_concat_fold1_seed2.pt
clay,clay_v1_5_cls,conv1d,mlp,1,0,0.8313690122855132,14.704111259966457,10.651483255409333,415,12.756424862423255,24,918657,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_conv1d_fold1_seed0.pt
clay,clay_v1_5_cls,conv1d,mlp,1,1,0.8066123653931491,15.74651455679849,11.284199625038239,415,12.684339399875638,23,918657,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_conv1d_fold1_seed1.pt
clay,clay_v1_5_cls,conv1d,mlp,1,2,0.8123517901000017,15.511089407141792,11.177121900075889,415,12.601864719915035,23,918657,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/clay_conv1d_fold1_seed2.pt
prithvi,prithvi_eo_v2_300_tl_per_timestep_spatial_mean,mean,mlp,1,0,0.7997741331272179,16.022496286065167,12.11065891679511,415,14.845216479444733,22,558081,2048,256,outputs/temporal_ablation_covered/fold_1/checkpoints/prithvi_mean_fold1_seed0.pt
