representation,regressor,r2_pooled,r2_anomaly,n_anomaly
clay_daymet,ebm,0.8632,0.6599,1869
clay_daymet,random_forest,0.8145,0.5192,1869
clay_daymet,ridge,0.8455,0.5897,1869
clay_daymet,xgboost,0.8519,0.6344,1869
presto_daymet,ebm,0.8566,0.6169,1869
presto_daymet,random_forest,0.8314,0.5348,1869
presto_daymet,ridge,0.8465,0.6107,1869
presto_daymet,xgboost,0.8582,0.6329,1869
presto_era5,ebm,0.8133,0.4941,1869
presto_era5,random_forest,0.8021,0.4533,1869
presto_era5,ridge,0.8162,0.4795,1869
presto_era5,xgboost,0.8249,0.5121,1869
prithvi_daymet,ebm,0.8438,0.5951,1869
prithvi_daymet,random_forest,0.7719,0.4186,1869
prithvi_daymet,ridge,0.8255,0.5503,1869
prithvi_daymet,xgboost,0.8244,0.5679,1869
sentinel2_indices_daymet,ebm,0.8614,0.6514,1869
sentinel2_indices_daymet,random_forest,0.8634,0.6823,1869
sentinel2_indices_daymet,ridge,0.8322,0.5861,1869
sentinel2_indices_daymet,xgboost,0.8838,0.6966,1869
terramind_daymet,ebm,0.842,0.5783,1869
terramind_daymet,random_forest,0.8009,0.4773,1869
terramind_daymet,ridge,0.8455,0.5731,1869
terramind_daymet,xgboost,0.8422,0.5973,1869
